Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneSymbol	GeneName	Sample_10uninfected	Sample_11infected	Sample_14uninfected	Sample_1infected	Sample_2infected	Sample_5uninfected	Sample_7infected	Sample_9uninfected
ENSMUSG00000021983	15.030345086049	-5.93152073848373	1.1844120843673	-5.00798735235151	5.50021480007274e-07	0.000604244430911325	Atp8a2,LOC108168164	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2,uncharacterized LOC108168164	47	0	22	0	1	18	1	30
ENSMUSG00000038530	1440.38450141085	1.03551968891611	0.210144156978457	4.92766348493939	8.32187846305674e-07	0.000843902490603669	Rgs4	regulator of G-protein signaling 4	1102	1361	437	1938	3150	1321	1690	1353
ENSMUSG00000036446	3786.6633114521	-1.32814346780268	0.271764293028076	-4.88711542272211	1.0232411045325e-06	0.000963527677217999	Lum	lumican	9030	1534	1606	2203	1662	8346	3653	6598
ENSMUSG00000002980	3246.81554837557	1.32628757098996	0.273521201599073	4.8489388143813	1.24123696154389e-06	0.00109088179093554	Bcam	basal cell adhesion molecule	1741	1788	758	6175	8145	2635	4613	3310
ENSMUSG00000036291	25.0188701564451	-4.13184169412248	0.865575746622487	-4.77351833186767	1.81035062185348e-06	0.0014916157654934	Ap5m1	adaptor-related protein complex 5, mu 1 subunit	56	5	44	0	0	40	5	32
ENSMUSG00000034387	131.964376425225	2.07899515485207	0.446157832750419	4.65977508908839	3.16555080759055e-06	0.00245479154685095	Ssu2	ssu-2 homolog (C. elegans)	66	160	37	178	449	62	100	40
ENSMUSG00000062778	74.335773679868	-9.69578612419531	2.08806356557841	-4.64343436858422	3.42664877886788e-06	0.00250963949176751	Chia1	chitinase, acidic 1	3	0	225	0	0	122	0	57
ENSMUSG00000040264	119.639273505818	1.31815400853341	0.291932384730951	4.51527160903452	6.32356654878e-06	0.0043875567269772	Gbp2b	guanylate binding protein 2b	103	108	39	199	253	81	165	71
ENSMUSG00000073409	775.468302001795	3.05348551962845	0.697618623287054	4.37701262222756	1.20317009245058e-05	0.00771791994676139	H2-Q8,H2-Q6	histocompatibility 2, Q region locus 8,histocompatibility 2, Q region locus 6	255	1076	55	352	3159	373	1185	100
ENSMUSG00000020044	4486.71543615	0.703266143324167	0.160845746560835	4.37230177583948	1.22943426292945e-05	0.00771791994676139	Timp3	tissue inhibitor of metalloproteinase 3	4716	3653	1462	5938	8092	4525	5889	4682
ENSMUSG00000053399	7.51755353374666	-6.41526850968933	1.4716373413281	-4.35927271585795	1.30495406932631e-05	0.0078196406799676	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18	10	0	1	0	0	37	0	30
ENSMUSG00000034164	621.296795191519	-1.28541460966083	0.298881210286144	-4.30075416393754	1.70217813791045e-05	0.00975644104003194	Emid1	EMI domain containing 1	1146	364	558	425	234	1137	401	829
ENSMUSG00000024140	5407.53144299419	0.966870043619308	0.226817887905371	4.26275922304105	2.01918051124907e-05	0.0107914791241749	Epas1	endothelial PAS domain protein 1	4375	3208	1468	8996	12035	4943	7327	5910
ENSMUSG00000017165	12.2361866864824	-4.57643318538804	1.07607215531475	-4.25290549781901	2.11014641786804e-05	0.0107914791241749	Gast	gastrin	23	1	25	0	2	24	1	9
ENSMUSG00000045092	416.097660311257	1.63101486307675	0.383679385904779	4.25098382398248	2.12833541097282e-05	0.0107914791241749	S1pr1	sphingosine-1-phosphate receptor 1	197	363	114	628	1382	405	338	165
ENSMUSG00000068452	9.61181676940934	6.74841680141925	1.60731424272259	4.19856716381004	2.68609187634126e-05	0.013115092298447	Duox2	dual oxidase 2	0	0	0	6	30	0	57	0
ENSMUSG00000016946	26.0156373137346	-2.61137878528888	0.63080354375699	-4.13976555955254	3.47660934433977e-05	0.0163686217808683	Kctd5	potassium channel tetramerisation domain containing 5	72	3	22	9	6	85	14	19
ENSMUSG00000017754	1640.66467530455	-0.869698586598209	0.210954518319815	-4.12268290589403	3.74485043643236e-05	0.0170235735529268	Pltp	phospholipid transfer protein	3199	647	820	1431	1624	3570	1311	2136
ENSMUSG00000033191	2393.42292757046	1.40754080264888	0.342257515212656	4.11251978433353	3.91363919633506e-05	0.017197835175095	Tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	1689	1501	294	3310	7579	2220	3045	2169
ENSMUSG00000054072	337.169172061761	2.88160549271122	0.705789186853022	4.08281331931386	4.44937640553719e-05	0.0189213319852248	Iigp1	interferon inducible GTPase 1	167	714	28	167	784	141	593	36
ENSMUSG00000051339	579.766460037506	1.20620616303993	0.298056459192646	4.04690495991	5.18993007641579e-05	0.0213808900616842	2900026A02Rik	RIKEN cDNA 2900026A02 gene	229	434	145	843	1296	557	943	671
ENSMUSG00000035929	359.551729847599	1.48316022695158	0.367623544672351	4.03445385488969	5.47294438454617e-05	0.0215477338096366	H2-Q4	histocompatibility 2, Q region locus 4	234	375	119	247	1101	263	510	179
ENSMUSG00000045281	258.929743693197	1.23120966831014	0.305445956659775	4.03085927793617	5.55733102880712e-05	0.0215477338096366	Gpr20	G protein-coupled receptor 20	209	314	92	219	487	199	460	156
ENSMUSG00000003526	16.8588956448004	4.10610349903149	1.02043276822194	4.02388440169969	5.72460241803734e-05	0.0215621239077104	Prodh	proline dehydrogenase	1	19	0	50	61	8	7	0
ENSMUSG00000041670	1016.69593177978	0.987914376534185	0.24778429262601	3.98699355017341	6.69158439721274e-05	0.0242205312140641	Rims1	regulating synaptic membrane exocytosis 1	640	724	283	1188	1843	950	2130	1227
ENSMUSG00000023951	1641.96690102776	-1.22491302257276	0.307515777270488	-3.98325261046797	6.79784309277383e-05	0.0242205312140641	Vegfa	vascular endothelial growth factor A	4239	794	703	1483	754	3913	999	1968
ENSMUSG00000030653	121.180297612545	1.51832460785043	0.38238990606505	3.9706189514117	7.16861539920589e-05	0.0248694360020346	Pde2a	phosphodiesterase 2A, cGMP-stimulated	119	92	11	246	256	102	192	72
ENSMUSG00000095061	6.41353986664697	-6.13819188690648	1.55272086948849	-3.95318437944907	7.71179659840721e-05	0.0260678498863595	E030018B13Rik	RIKEN cDNA E030018B13 gene	27	0	12	0	0	3	0	4
ENSMUSG00000022053	57.373595316874	1.85164608364527	0.469916079955201	3.9403760854955	8.13539658234841e-05	0.0268122332862748	Ebf2	early B cell factor 2	35	63	7	110	147	56	59	19
ENSMUSG00000020427	1391.28612261982	1.07327056105408	0.273295107635484	3.92714882582379	8.59587957672676e-05	0.027638897673168	Igfbp3	insulin-like growth factor binding protein 3	1155	1648	384	2687	2093	1008	1191	1486
ENSMUSG00000034981	677.365514227941	1.26329594277691	0.323328282165039	3.90716189229643	9.33865855992771e-05	0.0289361313660023	Parm1	prostate androgen-regulated mucin-like protein 1	441	473	174	607	2144	619	982	564
ENSMUSG00000078920	49.9470368891382	2.28476350641971	0.585147327811801	3.90459530074886	9.438319416962e-05	0.0289361313660023	Ifi47	interferon gamma inducible protein 47	19	80	4	22	131	40	101	18
ENSMUSG00000086905	199.152325905983	-1.37154997621846	0.353417581854425	-3.88081987608474	0.00010410492361321	0.0311912547271124	NA	NA	518	66	73	168	123	536	119	251
ENSMUSG00000068614	1268.5982855492	-1.37084896408984	0.355628306478829	-3.85472398882692	0.000115860266470067	0.0330821784901967	Actc1	actin, alpha, cardiac muscle 1	2113	507	1774	755	745	1033	953	1641
ENSMUSG00000023987	16084.099660458	-3.06066221721094	0.794205172194579	-3.8537424891777	0.000116325942048698	0.0330821784901967	Pgc	progastricsin (pepsinogen C)	21402	273	26935	6540	3202	19713	6178	37080
ENSMUSG00000058589	9.74745318842042	-4.01528620133194	1.04283406443982	-3.85035964805086	0.000117944503454392	0.0330821784901967	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B	18	0	12	1	0	32	4	15
ENSMUSG00000066363	207.219441284691	5.37172010380801	1.40497083487553	3.82336769594504	0.000131641242127193	0.0360681034773534	Serpina3f	serine (or cysteine) peptidase inhibitor, clade A, member 3F	28	211	0	109	707	22	750	0
ENSMUSG00000040599	5.872507567498	-6.05691419368407	1.58617247607421	-3.81857224548176	0.00013422627660915	0.0360681034773534	Mis12	MIS12 kinetochore complex component	24	0	1	0	0	32	0	3
ENSMUSG00000036964	5.74256179209442	-6.02345334331019	1.57957372145399	-3.81334106885852	0.000137100702640893	0.0360681034773534	Trim17	tripartite motif-containing 17	40	0	1	0	0	9	0	7
ENSMUSG00000031778	262.046582409009	1.29682674989594	0.340464434558573	3.80899329933632	0.000139533738704773	0.0360681034773534	Cx3cl1	chemokine (C-X3-C motif) ligand 1	237	180	50	406	777	213	274	205
ENSMUSG00000037169	4.72905223686203	-5.69489864108484	1.49834977373477	-3.80078052595811	0.000144241018789259	0.0365678721288232	Mycn	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	8	0	8	0	0	6	0	14
ENSMUSG00000020422	378.38933735692	0.726581162077926	0.19291884845662	3.7662528461614	0.00016571597131456	0.0412195028271668	Tns3	tensin 3	328	316	120	562	611	448	507	394
ENSMUSG00000028019	665.727081229284	-0.768794127934289	0.205285475100263	-3.74500011537009	0.000180393692845238	0.0431675721844355	Pdgfc	platelet-derived growth factor, C polypeptide	1177	327	470	669	546	832	535	1108
ENSMUSG00000039376	24.9658612518413	3.06676667139957	0.819223257645166	3.74350537875951	0.000181470715930266	0.0431675721844355	Synpo2l	synaptopodin 2-like	10	9	0	71	88	1	39	15
ENSMUSG00000061100	7.27779301279529	-6.3619502252181	1.70065247321401	-3.74088788004691	0.000183371314748417	0.0431675721844355	Retnla	resistin like alpha	37	0	0	0	0	37	0	2
ENSMUSG00000035105	3614.71305983491	1.18287523337005	0.318857018129218	3.70973560597837	0.000207475802422901	0.0475048607211406	Egln3	egl-9 family hypoxia-inducible factor 3	2778	2420	445	4803	7931	2962	6909	4622
ENSMUSG00000075224	271.729904459591	-1.19962486024134	0.323534001189932	-3.70787878810023	0.000209002649004487	0.0475048607211406	Lrrc55	leucine rich repeat containing 55	610	138	109	170	191	753	178	326
ENSMUSG00000061232	728.624283072587	1.27032423882041	0.343515317607439	3.69801337439079	0.000217293442739961	0.0485521941634052	H2-K1	histocompatibility 2, K1, K region	689	754	183	401	1728	586	1448	462
ENSMUSG00000046618	1173.04482615059	1.08742059356413	0.29453843106562	3.69194807492494	0.000222542906657046	0.0488963856409974	Olfml2a	olfactomedin-like 2A	1138	1742	321	1007	1955	932	1493	983
ENSMUSG00000026259	115.376066751007	1.63757399876096	0.446061579040408	3.67118370132616	0.000241429729184465	0.0517962757374911	Ngef	neuronal guanine nucleotide exchange factor	62	103	25	403	156	86	80	79
ENSMUSG00000091562	151.084014000667	1.37782937424897	0.375543222717657	3.66889692291121	0.000243599263879576	0.0517962757374911	NA	NA	98	154	40	312	350	109	97	125
ENSMUSG00000036856	119.685691940258	-1.41714294942706	0.387696571485605	-3.6552888357943	0.000256892585996745	0.0537557930348427	Wnt4	wingless-type MMTV integration site family, member 4	228	81	78	55	68	286	44	186
ENSMUSG00000026308	1105.00283355366	0.878779875176849	0.241167808104371	3.64385231214829	0.000268587574745201	0.055277482593321	Klhl30	kelch-like 30	674	853	400	1702	2035	847	1546	1488
ENSMUSG00000026228	7.24365896612276	-6.30344808755279	1.73296700543998	-3.63737339935819	0.000275432496946849	0.055277482593321	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B	9	0	22	0	0	8	0	0
ENSMUSG00000021719	127.801687954772	1.6374523654409	0.450713917518584	3.63301930957875	0.000280124046343864	0.055277482593321	Rgs7bp	regulator of G-protein signalling 7 binding protein	66	123	10	139	407	110	161	120
ENSMUSG00000009378	25.4339710458555	-3.03939906290625	0.836776314175456	-3.63227186455585	0.000280936913733786	0.055277482593321	Slc16a12	solute carrier family 16 (monocarboxylic acid transporters), member 12	84	7	30	13	0	36	1	34
ENSMUSG00000048489	47.3767358153396	1.94294690346209	0.537877263318785	3.61224955201454	0.000303552228858641	0.0585072861721467	8430408G22Rik	RIKEN cDNA 8430408G22 gene	16	43	10	61	160	49	61	12
ENSMUSG00000039316	977.83217631065	0.966440543209523	0.267714004221473	3.60997380775796	0.000306227925804303	0.0585072861721467	Rftn1	raftlin lipid raft linker 1	913	713	183	1504	2074	840	1312	1208
ENSMUSG00000032076	258.828875476937	-1.24225711880446	0.345022417141592	-3.60051132067357	0.000317591999706712	0.0596052706438272	Cadm1	cell adhesion molecule 1	476	39	143	196	290	482	177	564
ENSMUSG00000034424	6.8137293231906	-6.21701919358564	1.72804366118017	-3.59772113011296	0.000321017538929814	0.0596052706438272	Gcsh	glycine cleavage system protein H (aminomethyl carrier)	13	0	19	0	0	0	0	7
ENSMUSG00000019929	1691.0083474168	-0.945493858094833	0.265618491287039	-3.55959351140614	0.000371429261297723	0.0680076659956651	Dcn	decorin	4072	1072	917	1074	1009	2931	1487	2126
ENSMUSG00000021468	113.974563874472	-1.24770499274132	0.351997032980345	-3.5446463345928	0.000393140206877661	0.0709968129762768	Sptlc1	serine palmitoyltransferase, long chain base subunit 1	224	41	92	54	66	232	128	138
ENSMUSG00000078921	34.1372511925153	2.39075108180452	0.675659133773407	3.53839822819045	0.000402562430449448	0.0717159529812847	Tgtp2	T cell specific GTPase 2	19	14	1	42	111	28	99	6
ENSMUSG00000002847	206.809858770948	1.42826006693376	0.404522930709823	3.53072708246124	0.000414419111453658	0.0728438286172477	Pla1a	phospholipase A1 member A	196	303	46	170	537	131	186	131
ENSMUSG00000069208	6.43348689997797	-6.13090703806115	1.74773131623987	-3.50792308926032	0.000451619594192785	0.0781368279703124	Zfp825	zinc finger protein 825	0	0	19	0	0	10	0	7
ENSMUSG00000032384	48.088286121116	-1.49857992528141	0.427539153669183	-3.50512909150062	0.000456385932922252	0.0781368279703124	Csnk1g1	casein kinase 1, gamma 1	96	11	44	47	22	87	29	72
ENSMUSG00000044220	5.11911350989794	5.84414074897715	1.67705796868854	3.48475774725144	0.000492582790134123	0.0820983268862703	Nkx2-3	NK2 homeobox 3	0	0	0	16	23	0	10	0
ENSMUSG00000040703	51.3485720034647	-4.35984703337823	1.25171688151349	-3.48309357952145	0.000495655074365252	0.0820983268862703	Cyp2s1	cytochrome P450, family 2, subfamily s, polypeptide 1	144	0	87	16	0	94	6	40
ENSMUSG00000041329	1092.4773661741	0.842523411220302	0.241984935354925	3.48171843831746	0.000498207248039264	0.0820983268862703	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	933	743	257	1512	2370	1227	1480	1248
ENSMUSG00000062151	31.20340599238	-2.49499765090984	0.717504280199535	-3.47732789860987	0.000506438056698445	0.0824243568080938	Unc13c	unc-13 homolog C (C. elegans)	83	0	31	6	7	67	31	45
ENSMUSG00000064125	4.44824916481604	5.61095462312916	1.61695687437798	3.47007066919309	0.000520321444274405	0.0836511902423108	Prr36	proline rich 36	0	11	0	16	2	0	4	0
ENSMUSG00000025439	4.81904931115972	-5.77600104689374	1.66709295971092	-3.46471443793712	0.000530794775536575	0.0836668383522268	Clns1a	chloride channel, nucleotide-sensitive, 1A	19	0	0	0	0	11	0	20
ENSMUSG00000059991	80.6140466063562	1.57970363039104	0.456094742943405	3.46354272841742	0.000533111918500118	0.0836668383522268	Nptx2	neuronal pentraxin 2	44	63	6	192	103	54	169	94
ENSMUSG00000021904	5.14024289721944	5.09390637494191	1.47516878324403	3.45310071145888	0.000554182059467922	0.0859503775290073	Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G	0	5	0	16	20	1	3	0
ENSMUSG00000026417	70.2677237473417	2.24379740539485	0.651463548524317	3.44424091029723	0.000572665194485572	0.0861702868317441	Pigr	polymeric immunoglobulin receptor	23	7	12	156	241	14	146	59
ENSMUSG00000025902	41.0000887905824	2.33618630237788	0.678691889755493	3.44218980312189	0.000577025227222576	0.0861702868317441	Sox17	SRY (sex determining region Y)-box 17	9	28	0	100	139	25	39	35
ENSMUSG00000090066	19.5012800100004	2.51709573404552	0.732455598838808	3.43651647695229	0.000589246511079666	0.0861702868317441	1110002E22Rik	RIKEN cDNA 1110002E22 gene	4	12	1	19	69	17	51	6
ENSMUSG00000027951	380.576777358083	1.16645921116911	0.339454739542206	3.4362731619014	0.000589776002194621	0.0861702868317441	Adar	adenosine deaminase, RNA-specific	288	239	48	671	659	524	756	290
ENSMUSG00000039004	440.237658102874	-1.35939035559049	0.395812489731038	-3.43443016796721	0.000593801048082728	0.0861702868317441	Bmp6	bone morphogenetic protein 6	700	34	308	395	377	829	343	968
ENSMUSG00000024074	3376.36887412548	0.823942685204193	0.240008759431352	3.43296922644134	0.000597009854993775	0.0861702868317441	Crim1	cysteine rich transmembrane BMP regulator 1 (chordin like)	2871	2398	1243	4206	8391	3333	3691	3236
ENSMUSG00000039195	3.61758858615776	-5.33084066603146	1.55372687921827	-3.43100240932537	0.000601355259692062	0.0861702868317441	1110008P14Rik	RIKEN cDNA 1110008P14 gene	12	0	4	0	0	9	0	6
ENSMUSG00000040447	61.44073107661	2.16985398593468	0.633972483694903	3.42263117365661	0.000620181659648157	0.0879124174101254	Spns2	spinster homolog 2	24	30	1	126	241	62	62	27
ENSMUSG00000042179	42.3894178638474	-6.01638812295963	1.75988140696658	-3.41863269828492	0.000629366210023326	0.088265263263165	Pnliprp1	pancreatic lipase related protein 1	18	0	127	0	0	19	6	61
ENSMUSG00000021994	1770.50769701636	-0.780941024923888	0.229166412129556	-3.40774643922248	0.00065501730744681	0.0905091179928543	Wnt5a	wingless-type MMTV integration site family, member 5A	3535	1010	841	1595	1086	3522	1695	2386
ENSMUSG00000038060	4.16620294433552	-5.5167766603338	1.62424096407514	-3.39652599728337	0.000682470741462888	0.0905091179928543	Dlec1	deleted in lung and esophageal cancer 1	2	0	7	0	0	5	0	18
ENSMUSG00000037341	4.72205215616804	-5.7473236063279	1.69272836831527	-3.39530175892784	0.00068552998584139	0.0905091179928543	Slc9a7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	7	0	0	0	0	23	0	20
ENSMUSG00000040037	318.471550249709	-0.808411107205181	0.23814526156935	-3.39461344675869	0.000687255599552649	0.0905091179928543	Negr1	neuronal growth regulator 1	483	187	237	265	194	541	305	464
ENSMUSG00000040254	53.5435026691547	-1.55612645502985	0.458427604153022	-3.39448680867485	0.000687573523416809	0.0905091179928543	Sema3d	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	108	10	37	53	42	112	15	100
ENSMUSG00000035835	261.375126811386	0.977356839325441	0.287931296001279	3.39440989186914	0.000687766689145841	0.0905091179928543	Plppr3	phospholipid phosphatase related 3	281	239	43	324	457	270	448	247
ENSMUSG00000061171	662.63308396567	1.19071329382582	0.351345203186889	3.38901252393774	0.000701448067056302	0.0905091179928543	Slc38a11	solute carrier family 38, member 11	664	1050	260	620	1129	403	738	339
ENSMUSG00000069874	63.0402356874007	1.53497588015806	0.453063408257861	3.3879934953485	0.000704059340121085	0.0905091179928543	Irgm2	immunity-related GTPase family M member 2	36	55	4	92	130	74	130	46
ENSMUSG00000039167	96.1764603895522	1.82366651818148	0.53846467128982	3.38678954333834	0.00070715612176773	0.0905091179928543	Adgrl4	adhesion G protein-coupled receptor L4	38	59	4	207	311	99	94	73
ENSMUSG00000062296	9.20319779089348	-4.31141411296622	1.27555892624611	-3.3800195539805	0.000724806729631535	0.0918762222762743	Trank1	tetratricopeptide repeat and ankyrin repeat containing 1	27	0	3	0	0	7	4	49
ENSMUSG00000002731	12.2508234933588	-2.74426063726045	0.813205376300221	-3.37462185720636	0.000739171824897373	0.0928047825487816	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator	27	3	15	0	4	22	6	22
ENSMUSG00000024063	274.078820442755	0.993820798106786	0.295086516729235	3.36789633468307	0.000757440706195809	0.094201328582824	Lbh	limb-bud and heart	326	262	82	268	583	225	421	182
ENSMUSG00000031596	383.934403951793	0.944123519934415	0.281308470205177	3.35618589531202	0.000790254312842366	0.0973637626747749	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	413	424	97	412	785	400	451	295
ENSMUSG00000031529	172.417510279621	-1.21797096260682	0.363632721425651	-3.3494536955631	0.000809710885203273	0.0977645622091276	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	266	66	207	123	82	218	167	225
ENSMUSG00000020657	136.34339659871	-1.06752799698077	0.318975308670165	-3.34674179462789	0.000817673342363474	0.0977645622091276	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27	204	59	134	73	110	238	129	169
ENSMUSG00000030666	119.012540738682	0.949158953707047	0.283697341944741	3.34567446843377	0.000820827011617998	0.0977645622091276	Calcb	calcitonin-related polypeptide, beta	92	80	37	183	187	101	234	133
ENSMUSG00000002804	3.55316575274292	-5.27960426458963	1.57841197803953	-3.34488355261163	0.000823171236077764	0.0977645622091276	Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	9	0	6	0	0	6	0	6
ENSMUSG00000045534	8.73222969747374	5.15995841266933	1.54395767988448	3.34203358025681	0.000831669985896792	0.0978920127149769	Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5	0	14	0	43	0	0	12	2
ENSMUSG00000030218	15.0894888914143	-3.31437712882497	0.995617952115516	-3.32896481203708	0.000871694167693332	0.101083898479301	Mgp	matrix Gla protein	60	7	15	1	0	27	1	13
ENSMUSG00000028073	1376.34137519995	0.97887617787351	0.294191434587496	3.32734424863882	0.000876779867315743	0.101083898479301	Pear1	platelet endothelial aggregation receptor 1	1333	867	323	1792	3853	1197	1526	1440
ENSMUSG00000039699	363.504618587692	0.933549924608257	0.280703071093882	3.32575600605391	0.000881790815832485	0.101083898479301	Batf2	basic leucine zipper transcription factor, ATF-like 2	436	307	66	514	716	320	497	362
ENSMUSG00000030279	13.6562497324566	-4.0535590413199	1.22309901489698	-3.31417080052291	0.000919153422115114	0.104458616928824	C2cd5	C2 calcium-dependent domain containing 5	11	2	41	0	0	9	4	5
ENSMUSG00000042331	177.73690557513	1.2134736663371	0.367185455662478	3.30479774627167	0.000950449609597433	0.105746142609463	Specc1	sperm antigen with calponin homology and coiled-coil domains 1	147	239	29	213	368	136	174	194
ENSMUSG00000031919	4.05953564014415	-5.46013668859527	1.65262355294192	-3.30392041120036	0.000953428954632929	0.105746142609463	Tmed6	transmembrane p24 trafficking protein 6	12	0	9	0	0	2	0	4
ENSMUSG00000096210	49.5861279841403	-1.72727094425633	0.522894700808242	-3.30328638172555	0.000955587439567545	0.105746142609463	H1f0	H1 histone family, member 0	51	8	78	28	32	82	33	61
ENSMUSG00000050587	12.7692058949236	2.58491484008415	0.78329373991507	3.30005808595435	0.00096664818982423	0.105746142609463	Lrrc4c	leucine rich repeat containing 4C	3	8	2	49	18	3	22	8
ENSMUSG00000025813	6.43447482412761	-4.12242079471238	1.25088790975643	-3.29559568252209	0.000982132519875062	0.105746142609463	Homer2	homer scaffolding protein 2	13	0	10	1	0	6	2	18
ENSMUSG00000003779	46.6204918041459	-1.58964719814772	0.482415791160679	-3.29518068702326	0.000983584146514406	0.105746142609463	Kif20a	kinesin family member 20A	76	6	37	23	36	58	40	134
ENSMUSG00000023387	10.4752986246818	-3.86007049160981	1.17173831095388	-3.29431107229687	0.000986632446405517	0.105746142609463	Kcnk16	potassium channel, subfamily K, member 16	18	0	20	1	5	3	0	28
ENSMUSG00000034275	329.159420486482	0.854838446176358	0.259871169435053	3.28947011719205	0.00100376214512518	0.106714486767623	Igsf9b	immunoglobulin superfamily, member 9B	243	373	134	451	531	267	360	359
ENSMUSG00000035277	3.49782049748289	-5.31546877984254	1.61775449817737	-3.28570792776727	0.00101726430957431	0.107284763144945	Arx	aristaless related homeobox	8	0	1	0	0	11	0	15
ENSMUSG00000032456	28.9322513261229	-1.67358006522351	0.512655328255292	-3.26453266548339	0.0010964481926966	0.114718067653327	Nmnat3	nicotinamide nucleotide adenylyltransferase 3	71	8	26	12	26	37	13	52
ENSMUSG00000039523	127.580303332724	1.35174121993342	0.415403061417885	3.25404732290503	0.00113773325354646	0.117415321512944	Cep104	centrosomal protein 104	120	86	10	167	328	112	231	112
ENSMUSG00000045875	15.4033228276888	-3.862560496938	1.18721197724364	-3.25347163857439	0.00114004104935575	0.117415321512944	Adra1a	adrenergic receptor, alpha 1a	17	0	39	0	0	10	9	20
ENSMUSG00000032558	4.10084333467632	-5.54585018640553	1.70977406120064	-3.24361581582956	0.00118022818112031	0.120612000865962	Nphp3	nephronophthisis 3 (adolescent)	14	0	0	0	0	18	0	11
ENSMUSG00000047735	60.762812348314	1.3447007826588	0.41498549844972	3.24035607914557	0.0011938051937593	0.120774809400497	Samd9l	sterile alpha motif domain containing 9-like	71	50	9	123	101	51	103	30
ENSMUSG00000001583	4.16139672256626	-5.56523179665064	1.71858778110188	-3.23825867834489	0.00120261714048746	0.120774809400497	Tnk1	tyrosine kinase, non-receptor, 1	21	0	0	0	0	10	0	12
ENSMUSG00000028782	86.2712514235517	-0.927132527339945	0.286445871150695	-3.23667617765101	0.00120930553294892	0.120774809400497	Adgrb2	adhesion G protein-coupled receptor B2	156	38	49	80	69	149	66	154
